{-2.88 , -5.03 , -5.98 , -4.03 , 8.55 , 8.70 }, 
{-5.88 , -10.09 , -12.06 , -8.27 , 16.77 , 17.10 }, 
{-8.99 , -15.18 , -18.30 , -12.70 , 24.85 , 25.40 }, 
{-12.20 , -20.31 , -24.73 , -17.32 , 32.99 , 33.80 }, 
{-15.48 , -25.49 , -31.45 , -22.13 , 41.44 , 42.58 }, 
{-18.82 , -30.71 , -38.59 , -27.09 , 50.65 , 52.25 }, 
{-11.36 , -20.87 , -36.88 , -26.72 , 40.22 , 43.72 }, 
{-4.43 , -11.89 , -34.65 , -26.01 , 30.67 , 35.88 }, 
{2.04 , -3.44 , -32.00 , -24.96 , 21.49 , 28.30 }, 
{8.13 , 4.65 , -29.02 , -23.60 , 12.39 , 20.75 }, 
{13.92 , 12.54 , -25.79 , -21.95 , 3.15 , 13.02 }, 
{19.45 , 20.32 , -22.37 , -20.04 , -6.46 , 4.93 }, 
