{1.65 , 1.40 , -1.42 , -1.66 , -0.24 , 0.24 }, 
{3.28 , 2.79 , -2.86 , -3.33 , -0.48 , 0.49 }, 
{2.64 , 1.70 , -3.96 , -4.05 , 1.28 , 2.24 }, 
{1.98 , 0.60 , -5.07 , -4.76 , 3.03 , 3.98 }, 
{0.34 , -0.81 , -3.60 , -3.08 , 3.28 , 3.72 }, 
{-1.32 , -2.24 , -2.15 , -1.40 , 3.54 , 3.45 }, 
{-0.63 , -1.14 , -1.05 , -0.72 , 1.80 , 1.71 }, 
{0.05 , -0.04 , 0.04 , -0.04 , 0.04 , -0.05 }, 
{-1.61 , -1.46 , 1.45 , 1.60 , 0.28 , -0.29 }, 
{-3.29 , -2.90 , 2.83 , 3.24 , 0.52 , -0.53 }, 
{-2.58 , -1.79 , 3.92 , 3.88 , -1.25 , -2.32 }, 
{-1.88 , -0.69 , 5.01 , 4.51 , -3.05 , -4.13 }, 
{-0.22 , 0.72 , 3.64 , 2.88 , -3.27 , -3.90 }, 
{1.43 , 2.11 , 2.27 , 1.24 , -3.49 , -3.67 }, 
{0.76 , 1.01 , 1.18 , 0.58 , -1.69 , -1.87 }, 
{0.09 , -0.09 , 0.09 , -0.09 , 0.09 , -0.09 }, 
