{-27.80 , -27.80 , -27.80 , -27.80 , -27.80 , -27.80 }, 
{-4.15 , -4.15 , -4.15 , -4.15 , -4.15 , -4.15 }, 
{-6.27 , -6.27 , -6.27 , -6.27 , -6.27 , -6.27 }, 
{-8.43 , -8.43 , -8.43 , -8.43 , -8.43 , -8.43 }, 
{-10.63 , -10.63 , -10.63 , -10.63 , -10.63 , -10.63 }, 
{-12.88 , -12.88 , -12.88 , -12.88 , -12.88 , -12.88 }, 
{-15.19 , -15.19 , -15.19 , -15.19 , -15.19 , -15.19 }, 
{-17.55 , -17.55 , -17.55 , -17.55 , -17.55 , -17.55 }, 
{-22.53 , -18.18 , 20.63 , 23.55 , -1.20 , -7.44 }, 
{-22.49 , -19.07 , 16.27 , 20.23 , 2.89 , -2.61 }, 
{-22.38 , -19.90 , 11.90 , 16.85 , 6.86 , 2.09 }, 
{-22.19 , -20.67 , 7.50 , 13.41 , 10.72 , 6.69 }, 
{-21.94 , -21.37 , 3.04 , 9.89 , 14.49 , 11.22 }, 
{-21.62 , -22.00 , -1.48 , 6.27 , 18.20 , 15.71 }, 
{-21.24 , -22.55 , -6.11 , 2.53 , 21.85 , 20.17 }, 
{-20.80 , -23.03 , -10.85 , -1.32 , 25.46 , 24.65 }, 
{-18.82 , -20.22 , -7.95 , 0.51 , 21.37 , 20.56 }, 
{-16.86 , -17.44 , -5.07 , 2.30 , 17.27 , 16.47 }, 
{-14.93 , -14.68 , -2.21 , 4.04 , 13.15 , 12.33 }, 
{-13.02 , -11.93 , 0.64 , 5.74 , 8.98 , 8.14 }, 
{-11.14 , -9.21 , 3.46 , 7.39 , 4.73 , 3.86 }, 
{-9.30 , -6.50 , 6.28 , 9.00 , 0.39 , -0.53 }, 
{-7.48 , -3.81 , 9.08 , 10.55 , -4.07 , -5.06 }, 
{-5.70 , -1.12 , 11.88 , 12.07 , -8.68 , -9.76 }, 
{-1.47 , 2.43 , 8.65 , 8.10 , -9.30 , -9.36 }, 
{2.69 , 5.89 , 5.34 , 4.09 , -9.89 , -8.94 }, 
{6.77 , 9.25 , 1.95 , 0.01 , -10.45 , -8.49 }, 
{10.80 , 12.53 , -1.54 , -4.14 , -10.99 , -8.01 }, 
{14.80 , 15.74 , -5.14 , -8.40 , -11.49 , -7.51 }, 
{18.78 , 18.90 , -8.86 , -12.78 , -11.97 , -6.99 }, 
{22.76 , 22.02 , -12.73 , -17.32 , -12.41 , -6.45 }, 
{26.77 , 25.11 , -16.76 , -22.06 , -12.82 , -5.89 }, 
{24.13 , 22.15 , -16.21 , -20.87 , -10.19 , -3.88 }, 
{21.49 , 19.20 , -15.65 , -19.67 , -7.60 , -1.92 }, 
{18.84 , 16.24 , -15.08 , -18.45 , -5.05 , 0.01 }, 
{16.17 , 13.28 , -14.50 , -17.22 , -2.52 , 1.90 }, 
{13.47 , 10.29 , -13.92 , -15.97 , -0.01 , 3.75 }, 
{10.75 , 7.29 , -13.32 , -14.72 , 2.47 , 5.57 }, 
{7.99 , 4.24 , -12.72 , -13.45 , 4.93 , 7.35 }, 
{5.18 , 1.16 , -12.12 , -12.18 , 7.38 , 9.11 }, 
{4.58 , 0.99 , -10.42 , -10.59 , 6.48 , 7.86 }, 
{3.99 , 0.81 , -8.75 , -9.02 , 5.58 , 6.62 }, 
{3.39 , 0.64 , -7.10 , -7.47 , 4.66 , 5.37 }, 
{2.80 , 0.46 , -5.47 , -5.94 , 3.73 , 4.12 }, 
{2.20 , 0.29 , -3.85 , -4.44 , 2.80 , 2.86 }, 
{1.61 , 0.11 , -2.26 , -2.95 , 1.85 , 1.60 }, 
{1.02 , -0.07 , -0.68 , -1.48 , 0.90 , 0.33 }, 
{0.42 , -0.25 , 0.89 , -0.03 , -0.06 , -0.94 }, 
